Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63,Counter,AbsTime
0.31608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-11-16 12:24:15
0.31809,2,259,196610,10,d0,0c,71,07,23,0e,ff,0c,ab,0e,a6,0e,7d,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-11-16 12:24:15
0.32013,2,1552,196610,11,fd,04,00,5a,ce,00,d6,19,fb,e9,8d,05,48,16,05,18,f0,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2024-11-16 12:24:15
0.32027,2,1553,196610,11,b4,01,0a,aa,e4,01,e3,50,08,0b,e0,02,70,51,04,7e,f1,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2024-11-16 12:24:15
0.32205,2,1554,196610,11,4f,c0,10,33,1f,08,68,68,0d,ff,ff,7f,30,af,06,f0,03,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2024-11-16 12:24:15
0.32216,2,259,196610,10,d0,0c,70,07,23,0e,ff,0c,b1,0e,aa,0e,7d,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2024-11-16 12:24:15
0.32609,2,259,196610,10,d0,0c,71,07,22,0e,fe,0c,b2,0e,ae,0e,7d,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2024-11-16 12:24:15
0.32620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2024-11-16 12:24:15
0.33009,2,259,196610,10,d1,0c,71,07,22,0e,ff,0c,b6,0e,b3,0e,7d,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2024-11-16 12:24:15
0.33113,2,1552,196610,11,44,03,00,d5,cc,00,83,41,fb,13,8c,05,54,19,05,0e,ef,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2024-11-16 12:24:15
0.33127,2,1553,196610,11,e5,fb,09,3b,e1,01,68,52,08,47,e2,02,36,54,04,28,f3,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2024-11-16 12:24:15
0.33306,2,1554,196610,11,8c,c1,10,4b,20,08,bd,6c,0d,ff,ff,7f,8b,aa,06,e4,05,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2024-11-16 12:24:15
0.33320,2,1555,196610,11,00,00,80,53,e8,04,f9,bb,22,d8,4c,06,b1,9c,05,df,06,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2024-11-16 12:24:15
0.33409,2,259,196610,10,d2,0c,72,07,24,0e,fe,0c,bb,0e,b6,0e,7d,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2024-11-16 12:24:15
0.33608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2024-11-16 12:24:15
0.33809,2,259,196610,10,d2,0c,71,07,22,0e,fe,0c,bf,0e,bb,0e,7d,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2024-11-16 12:24:15
0.34209,2,259,196610,10,d2,0c,71,07,22,0e,ff,0c,c5,0e,bf,0e,7e,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2024-11-16 12:24:15
0.34223,2,1552,196610,11,01,06,00,45,d2,00,d8,6a,fb,7f,8f,05,24,1a,05,7d,f7,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2024-11-16 12:24:15
0.34236,2,1553,196610,11,3f,fe,09,c0,e2,01,0f,52,08,48,e8,02,f7,55,04,f5,ef,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2024-11-16 12:24:15
0.34408,2,1554,196610,11,6e,c2,10,ee,1e,08,16,68,0d,ff,ff,7f,bc,ad,06,1f,03,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2024-11-16 12:24:15
