






Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter,AbsTime
0.31608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,1,2024-11-16 12:24:15
0.31809,2,259,196610,8,d0,0c,71,07,23,0e,ff,0c,2,2024-11-16 12:24:15
0.32013,2,1552,196610,8,fd,04,00,5a,ce,00,d6,19,3,2024-11-16 12:24:15
0.32027,2,1553,196610,8,b4,01,0a,aa,e4,01,e3,50,4,2024-11-16 12:24:15
0.32205,2,1554,196610,8,4f,c0,10,33,1f,08,68,68,5,2024-11-16 12:24:15
0.32216,2,259,196610,8,d0,0c,70,07,23,0e,ff,0c,6,2024-11-16 12:24:15
0.32609,2,259,196610,8,d0,0c,71,07,22,0e,fe,0c,7,2024-11-16 12:24:15
0.32620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,8,2024-11-16 12:24:15
0.33009,2,259,196610,8,d1,0c,71,07,22,0e,ff,0c,9,2024-11-16 12:24:15
0.33113,2,1552,196610,8,44,03,00,d5,cc,00,83,41,10,2024-11-16 12:24:15
0.33127,2,1553,196610,8,e5,fb,09,3b,e1,01,68,52,11,2024-11-16 12:24:15
0.33306,2,1554,196610,8,8c,c1,10,4b,20,08,bd,6c,12,2024-11-16 12:24:15
0.33320,2,1555,196610,8,00,00,80,53,e8,04,f9,bb,13,2024-11-16 12:24:15
0.33409,2,259,196610,8,d2,0c,72,07,24,0e,fe,0c,14,2024-11-16 12:24:15
0.33608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,15,2024-11-16 12:24:15
0.33809,2,259,196610,8,d2,0c,71,07,22,0e,fe,0c,16,2024-11-16 12:24:15
0.34209,2,259,196610,8,d2,0c,71,07,22,0e,ff,0c,17,2024-11-16 12:24:15
0.34223,2,1552,196610,8,01,06,00,45,d2,00,d8,6a,18,2024-11-16 12:24:15
0.34236,2,1553,196610,8,3f,fe,09,c0,e2,01,0f,52,19,2024-11-16 12:24:15
0.34408,2,1554,196610,8,6e,c2,10,ee,1e,08,16,68,20,2024-11-16 12:24:15
0.34421,2,1555,196610,8,00,00,80,a1,ea,04,93,c0,21,2024-11-16 12:24:15
0.34609,2,259,196610,8,d2,0c,72,07,22,0e,ff,0c,22,2024-11-16 12:24:15
0.34620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,23,2024-11-16 12:24:15
0.35009,2,259,196610,8,d4,0c,73,07,24,0e,ff,0c,24,2024-11-16 12:24:15
0.35313,2,1552,196610,8,01,06,00,b3,d1,00,38,86,25,2024-11-16 12:24:15
0.35326,2,1553,196610,8,62,03,0a,be,e2,01,19,59,26,2024-11-16 12:24:15
0.35409,2,259,196610,8,d3,0c,73,07,22,0e,ff,0c,27,2024-11-16 12:24:15
0.35510,2,1554,196610,8,c7,ca,10,4b,20,08,25,6f,28,2024-11-16 12:24:15
0.35523,2,1555,196610,8,00,00,80,2f,ee,04,35,c1,29,2024-11-16 12:24:15
0.35607,2,101,196610,8,6a,bc,73,46,0d,25,17,44,30,2024-11-16 12:24:15
0.35809,2,259,196610,8,d4,0c,73,07,23,0e,ff,0c,31,2024-11-16 12:24:15
0.36209,2,259,196610,8,d4,0c,73,07,23,0e,ff,0c,32,2024-11-16 12:24:15
