Altium Designer Pick and Place Locations
C:\Users\issam\Documents\Telemetry_Board\Project Outputs for Telemetry_Board\Pick Place for Telemetry_Board.csv

========================================================================================================================
File Design Information:

Date:       01-03-25
Time:       02:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R29","RCS060362R0FKEA","TopLayer","RESC1508X50N","1751.968","1574.803","180",""
"NET","TLMS1100","TopLayer","TLMS1100-GS15-Footprint-1","1751.968","1630.906","0","Single Color LED, Red, 1.6mm"
"R28","RCS060362R0FKEA","TopLayer","RESC1508X50N","950.922","685.040","270",""
"SB1","PTS645SK43SMTR92LFS","TopLayer","PTS645SK43SMTR92LFS-Footprint-1","137.796","216.536","90","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 2.55N, 4 PCB Hole Cnt, Solder Terminal, Surface Mount-straight"
"XTAL2","ABM8G-20","TopLayer","FP-ABM8G-MFG","1513.300","149.804","180","Crystal 20MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 80Ohm 4-Pin Ultra Mini-CSMD T/R"
"U10","MCP2518FDT-H/QBB","TopLayer","FP-C04-21361-IPC_A","1514.291","314.291","90","1 Channel(s), 8MBps, CMOS, PDCC14"
"U3","TPS73733DCQ","TopLayer","DCQ0006A_N","326.772","566.929","180","Fixed Positive LDO Regulator, 3.3V, 0.5V Dropout, BICMOS, PDSO6"
"C37","CL10A475KQ8NNNC","BottomLayer","FP-CL10-IPC_B","389.764","519.685","180","4.7 µF ±10% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)"
"XTAL1","7M1MAAE","TopLayer","FP-7M-MFG","515.000","1270.001","135","Parallel - Fundamental Quartz Crystal, 12MHz Nom"
"U8","TCAN332GDR","TopLayer","TCAN332GDR-Footprint-1","1169.292","325.170","180","3.3-V CAN Transceiver with CAN FD"
"R19","CRCW0603120RFKTA","TopLayer","FP-CRCW0603-e3-IPC_B","1003.938","322.835","270","120 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"C32","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","1275.592","322.835","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"U2","FT2232HQ","TopLayer","FP-FT2232HQ-Reel-MFG","629.922","984.252","315","USB Bus Controller, CMOS, PQCC64"
"U9","TCAN332GDR","TopLayer","TCAN332GDR-Footprint-1","1169.292","110.236","180","3.3-V CAN Transceiver with CAN FD"
"U7","SN74AHC125RGYR","TopLayer","RGY0014A_V","1299.216","1488.193","270","Bus Driver, AHC/VHC/H/U/V Series, 4-Func, 1-Bit, True Output, CMOS, PQCC14"
"U5","MC74VHC1GT04DFT2G-Q","TopLayer","MC74VHC1GT04DFT2G-Q-Footprint-1","1511.812","1570.866","180","MC74VHC1GT04DFT2G-Q"
"U4","TPS2115ADRBT","TopLayer","DRB0008B_V","728.347","561.024","0","Power Supply Support Circuit, Adjustable, 2 Channel, PDSO8"
"U6","AT93C46DY6-YH-E","TopLayer","AT93C46DY6-YH-E-Footprint-1","818.897","1350.393","45","EEPROM, 64X16, Serial, CMOS, PDSO8"
"U1","ESP32-WROVER-IE","TopLayer","FP-ESP32-WROVER-IE_M213EH-MFG","1489.370","984.252","270","Rx Txrx Mod Wifi Ext Ipex SMD"
"SB2","PTS645SK43SMTR92LFS","TopLayer","PTS645SK43SMTR92LFS-Footprint-1","137.796","1751.968","270","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 2.55N, 4 PCB Hole Cnt, Solder Terminal, Surface Mount-straight"
"R27","CRCW06030000Z0EA","TopLayer","FP-CRCW0603-e3-IPC_B","1683.070","283.464","270","0 Ohms Jumper Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R26","CRCW06030000Z0EA","TopLayer","FP-CRCW0603-e3-IPC_B","1657.481","468.505","180","0 Ohms Jumper Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R25","CRCW06030000Z0EA","TopLayer","FP-CRCW0603-e3-IPC_B","1539.999","472.000","0","0 Ohms Jumper Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R24","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","1539.001","534.000","0","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R23","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","1406.017","445.080","180","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R22","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","1744.095","283.465","270","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R21","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","1657.480","531.495","180","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R20","CRCW0603120RFKTA","TopLayer","FP-CRCW0603-e3-IPC_B","1000.000","110.237","270","120 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R18","CRCW06032K20FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","858.268","1283.465","45","2.2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R17","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","917.323","1429.134","135","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R16","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","716.536","1433.072","45","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R15","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","673.229","1350.393","135","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R14","CRCW060333R0FKEA","TopLayer","FP-CRCW0603-e3-IPC_C","774.208","1195.467","225","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 33ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R13","CRCW060333R0FKEA","TopLayer","FP-CRCW0603-e3-IPC_C","738.774","1230.900","225","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 33ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R12","CRCW060333R0FKEA","TopLayer","FP-CRCW0603-e3-IPC_C","699.404","1266.333","225","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 33ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R11","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","1503.937","1681.102","0","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R10","RCS060362R0FKEA","TopLayer","RESC1508X50N","937.009","1204.725","45",""
"R9","RCS060362R0FKEA","TopLayer","RESC1508X50N","900.191","1242.711","45",""
"R8","ERA-3AEB123V","TopLayer","FP-ERA3A-IPC_B","303.149","1216.535","0","Fixed Resistor, Thin Film, 0.1W, 12000ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"
"R7","ERA-3AEB123V","BottomLayer","FP-ERA3A-IPC_B","379.372","1012.820","90","Fixed Resistor, Thin Film, 0.1W, 12000ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"
"R6","CRCW06034K70FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","622.047","629.921","270","4.7 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R5","CRCW0603402RFKEA","TopLayer","FP-CRCW0603-e3-IPC_B","622.047","476.485","270","402 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R4","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","51.182","1299.213","270","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R3","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","51.182","1440.945","270","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R2","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","1019.685","1645.670","0","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R1","CRCW060310K0FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","1645.670","1425.197","90","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"Q3","MMS8050HE3-H-TP","TopLayer","MMS8050HE3-H-TP-Footprint-1","157.480","1299.213","270","NPN Signal Transistor, SOT-23"
"Q2","MMS8050HE3-H-TP","TopLayer","MMS8050HE3-H-TP-Footprint-1","157.480","1440.945","270","NPN Signal Transistor, SOT-23"
"Q1","NVR5124PLT1G","TopLayer","FP-318-08-IPC_C","1143.300","1614.174","0","Small Signal Field-Effect Transistor, 1.1A I(D), 60V, 1-Element, P-Channel, Silicon, Metal-oxide Semiconductor FET, TO-236"
