Processing file: ./09-30/test_day_2_063.csv
3.524399995803833 at 0.54080
3.5249998569488525 at 0.93412
3.5254998207092285 at 1.32741
3.525099992752075 at 1.72071
3.525099992752075 at 2.11403
3.525099992752075 at 2.50738
3.5254998207092285 at 2.90072
3.5254998207092285 at 3.41387
3.5251998901367188 at 3.80719
3.5251998901367188 at 4.20056
3.525599956512451 at 4.59393
3.5251998901367188 at 4.98728
3.5251998901367188 at 5.38061
3.5254998207092285 at 5.77392
3.525099992752075 at 6.16730
3.5242998600006104 at 6.62855
3.525099992752075 at 6.96993
3.525099992752075 at 7.36327
3.525099992752075 at 7.75658
3.525099992752075 at 8.14991
3.524899959564209 at 8.54328
3.5251998901367188 at 8.93663
3.5251998901367188 at 9.33003
3.5249998569488525 at 9.72333
3.525099992752075 at 10.11674
3.525099992752075 at 10.62996
3.525099992752075 at 11.02338
3.5251998901367188 at 11.41682
3.5251998901367188 at 11.81022
3.5251998901367188 at 12.20358
3.525099992752075 at 12.59703
3.523899793624878 at 12.99037
3.5251998901367188 at 13.38375
3.5254998207092285 at 13.84510
3.525099992752075 at 14.18667
3.525099992752075 at 14.58013
3.5242998600006104 at 14.97362
3.525099992752075 at 15.36710
3.525099992752075 at 15.76052
3.525099992752075 at 16.15395
3.523899793624878 at 16.54734
3.5249998569488525 at 16.94075
3.5251998901367188 at 17.33416
3.5249998569488525 at 17.84740
3.525099992752075 at 18.24080
3.525099992752075 at 18.63423
3.524399995803833 at 19.02771
3.5251998901367188 at 19.42119
3.5251998901367188 at 19.81469
3.5249998569488525 at 20.20816
3.5242998600006104 at 20.60163
3.5249998569488525 at 21.06302
3.5251998901367188 at 21.40455
3.524399995803833 at 21.79801
3.5249998569488525 at 22.19140
3.525099992752075 at 22.58485
3.5251998901367188 at 22.97827
3.524399995803833 at 23.37169
3.5249998569488525 at 23.76515
3.525099992752075 at 24.15862
3.5251998901367188 at 24.55211
3.525099992752075 at 25.06544
3.524399995803833 at 25.45887
3.525099992752075 at 25.85243
3.525099992752075 at 26.24595
3.525099992752075 at 26.63948
3.525099992752075 at 27.03296
3.5251998901367188 at 27.42647
3.5242998600006104 at 27.81995
3.5251998901367188 at 28.28130
3.525099992752075 at 28.62276
3.525099992752075 at 29.01621
3.525099992752075 at 29.40968
3.525099992752075 at 29.80312
3.5251998901367188 at 30.19658
3.5251998901367188 at 30.59003
3.525099992752075 at 30.98349
3.525099992752075 at 31.37694
3.5251998901367188 at 31.77040
3.525099992752075 at 32.28369
3.525099992752075 at 32.67713
3.525099992752075 at 33.07055
3.525099992752075 at 33.46399
3.5251998901367188 at 33.85740
Processing file: ./09-30/test_day_2_062.csv
3.525099992752075 at 0.54115
3.525099992752075 at 0.93444
3.525099992752075 at 1.32776
3.5254998207092285 at 1.72106
3.525099992752075 at 2.11437
3.5251998901367188 at 2.50767
3.5249998569488525 at 2.90100
3.525099992752075 at 3.41423
3.5251998901367188 at 3.80762
3.5251998901367188 at 4.20102
3.5251998901367188 at 4.59443
3.5251998901367188 at 4.98780
3.525099992752075 at 5.38117
3.5249998569488525 at 5.77455
3.525099992752075 at 6.16796
3.5251998901367188 at 6.62926
3.525099992752075 at 6.97071
3.525099992752075 at 7.36414
3.525099992752075 at 7.75757
3.524399995803833 at 8.15097
3.5251998901367188 at 8.54437
3.525099992752075 at 8.93773
3.525099992752075 at 9.33109
3.525099992752075 at 9.72440
3.5251998901367188 at 10.11777
3.5251998901367188 at 10.63088
3.525099992752075 at 11.02424
3.523899793624878 at 11.41753
3.525099992752075 at 11.81086
3.525099992752075 at 12.20425
3.5251998901367188 at 12.59767
3.525099992752075 at 12.99109
3.525099992752075 at 13.38450
3.5242998600006104 at 13.84567
3.525099992752075 at 14.18707
3.5251998901367188 at 14.58037
3.5249998569488525 at 14.97365
3.5249998569488525 at 15.36701
3.525099992752075 at 15.76036
3.5242998600006104 at 16.15366
3.524399995803833 at 16.54697
3.524899959564209 at 16.94022
Processing file: ./09-30/test_day_2_060.csv
3.525099992752075 at 0.93438
3.5249998569488525 at 1.32766
3.525099992752075 at 1.72088
3.525099992752075 at 2.11419
3.525099992752075 at 2.50747
3.5251998901367188 at 2.90074
3.525099992752075 at 3.41380
3.525099992752075 at 3.80711
3.525099992752075 at 4.20044
3.525099992752075 at 4.59372
3.5251998901367188 at 4.98708
3.525099992752075 at 5.38043
3.5251998901367188 at 5.77375
3.5251998901367188 at 6.16708
3.525099992752075 at 6.62826
3.5251998901367188 at 6.96968
3.5251998901367188 at 7.36298
3.525099992752075 at 7.75627
Processing file: ./09-30/test_day_2_074.csv
3.4622998237609863 at 0.53998
3.462399959564209 at 0.93323
3.462399959564209 at 1.32650
3.462399959564209 at 1.71979
3.4624998569488525 at 2.11308
3.4624998569488525 at 2.50638
3.462399959564209 at 2.89974
3.4622998237609863 at 3.41296
3.462399959564209 at 3.80631
3.463099956512451 at 4.19971
3.462399959564209 at 4.59316
3.4622998237609863 at 4.98654
3.463099956512451 at 5.37989
3.4606997966766357 at 5.77325
3.4631998538970947 at 6.16660
3.462399959564209 at 6.62784
3.462399959564209 at 6.96927
3.4622998237609863 at 7.36261
3.462399959564209 at 7.75598
3.4629998207092285 at 8.14941
3.462399959564209 at 8.54279
3.4631998538970947 at 8.93619
3.4631998538970947 at 9.32958
3.4629998207092285 at 9.72295
3.462399959564209 at 10.11633
3.463099956512451 at 10.62954
3.462399959564209 at 11.02293
3.462399959564209 at 11.41635
3.463099956512451 at 11.80976
3.4622998237609863 at 12.20319
3.462399959564209 at 12.59657
3.4624998569488525 at 12.98998
3.4621999263763428 at 13.38340
3.462399959564209 at 14.18634
3.4591000080108643 at 14.57975
3.462399959564209 at 14.97317
3.462399959564209 at 15.36661
3.462399959564209 at 15.76003
3.463099956512451 at 16.15344
3.4624998569488525 at 16.54687
3.4622998237609863 at 16.94030
3.462399959564209 at 17.33371
3.4622998237609863 at 17.84695
3.4622998237609863 at 18.24040
3.4622998237609863 at 18.63386
3.4631998538970947 at 19.02722
3.4622998237609863 at 19.81409
3.4591000080108643 at 20.20752
3.4622998237609863 at 20.60091
3.462399959564209 at 21.06221
3.463099956512451 at 21.40367
3.462399959564209 at 21.79701
3.462399959564209 at 22.19038
3.462399959564209 at 22.58374
3.4622998237609863 at 22.97711
3.462399959564209 at 23.37052
3.4631998538970947 at 23.76396
3.462399959564209 at 24.15739
3.4606997966766357 at 25.06395
3.4622998237609863 at 25.45738
3.4622998237609863 at 25.85078
3.4622998237609863 at 26.24422
3.462399959564209 at 26.63766
3.4619998931884766 at 27.03104
3.4624998569488525 at 27.42443
3.4622998237609863 at 27.81781
Processing file: ./09-30/test_day_2_061.csv
3.5249998569488525 at 0.93366
3.5254998207092285 at 1.32699
3.524199962615967 at 1.72036
3.5249998569488525 at 2.11373
3.525399923324585 at 2.50705
3.525099992752075 at 2.90037
3.525099992752075 at 3.41354
3.525099992752075 at 3.80690
3.525099992752075 at 4.20028
3.5242998600006104 at 4.59364
3.5242998600006104 at 4.98697
3.5251998901367188 at 5.38032
3.5249998569488525 at 5.77370
3.525099992752075 at 6.16712
3.5249998569488525 at 6.62841
3.5242998600006104 at 6.96988
3.525099992752075 at 7.36325
3.525099992752075 at 7.75672
3.525099992752075 at 8.15015
3.524399995803833 at 8.54358
3.5254998207092285 at 8.93696
3.5251998901367188 at 9.33028
3.5251998901367188 at 9.72361
3.525099992752075 at 10.11694
Processing file: ./09-30/test_day_2_059.csv
0.9552110433578491 at 0.54044
1.2121198177337646 at 0.93371
1.4434278011322021 at 1.32699
1.651595115661621 at 1.72032
1.8389456272125244 at 2.11359
2.00757098197937 at 2.50692
2.1593239307403564 at 2.90021
2.295931577682495 at 3.41331
2.418858289718628 at 3.80660
2.529482364654541 at 4.19986
2.6290440559387207 at 4.59314
2.7186496257781982 at 4.98646
2.7992947101593018 at 5.37977
2.871875286102295 at 5.77306
2.9371979236602783 at 6.16634
2.9959981441497803 at 6.62755
3.0489182472229004 at 6.96897
3.09653639793396 at 7.36235
3.1392927169799805 at 7.75565
3.1778736114501953 at 8.14901
3.2125961780548096 at 8.54242
3.2438464164733887 at 8.93579
3.2719719409942627 at 9.32912
3.2972846031188965 at 9.72242
3.320065975189209 at 10.11569
3.340569257736206 at 10.62875
3.3590221405029297 at 11.02206
3.3756401538848877 at 11.41541
3.3905959129333496 at 11.80874
3.4039764404296875 at 12.20207
3.4160988330841064 at 12.59538
3.4269890785217285 at 12.98873
3.436810255050659 at 13.38203
3.4456489086151123 at 13.84321
3.4535937309265137 at 14.18461
3.46075439453125 at 14.57789
3.4671988487243652 at 14.97124
3.4729888439178467 at 15.36458
3.4781997203826904 at 15.75792
3.4828994274139404 at 16.15122
3.487119197845459 at 16.54445
3.490927219390869 at 16.93770
3.4943442344665527 at 17.33103
3.497429609298706 at 17.84415
3.5001964569091797 at 18.23751
3.5026068687438965 at 18.63085
3.5048561096191406 at 19.02418
3.5068905353546143 at 19.41753
3.5087215900421143 at 19.81086
3.510359525680542 at 20.20424
3.51184344291687 at 20.59759
3.5143532752990723 at 21.40019
3.5154380798339844 at 21.79349
3.516404390335083 at 22.18678
3.5172641277313232 at 22.58010
3.5180575847625732 at 22.97340
3.5187618732452393 at 23.36671
3.5194058418273926 at 23.75999
3.519975185394287 at 24.15331
3.520477771759033 at 24.54661
3.5209498405456543 at 25.05977
3.52136492729187 at 25.45314
3.5217483043670654 at 25.84641
3.522083282470703 at 26.23966
3.522394895553589 at 26.63297
3.5226752758026123 at 27.02633
3.522927761077881 at 27.41963
3.5231449604034424 at 27.81289
3.523350477218628 at 28.27407
3.5235352516174316 at 28.61549
3.5236916542053223 at 29.00880
3.52396821975708 at 29.79535
3.5240912437438965 at 30.18866
3.5241920948028564 at 30.58200
3.524282932281494 at 30.97533
3.524364471435547 at 31.36868
3.5244479179382324 at 31.76202
3.5245232582092285 at 32.27517
3.524580717086792 at 32.66852
3.5251998901367188 at 43.41327
3.5239999294281006 at 43.75469
3.525099992752075 at 44.14802
3.5251998901367188 at 44.54133
3.5254998207092285 at 44.93463
3.525099992752075 at 45.32790
3.525099992752075 at 45.72117
3.5251998901367188 at 46.11449
3.5251998901367188 at 46.50775
3.5251998901367188 at 46.90106
3.5251998901367188 at 47.41419
3.5251998901367188 at 47.80753
Processing file: ./09-30/test_day_2_065.csv
3.5251998901367188 at 0.54115
3.5251998901367188 at 0.93455
3.5251998901367188 at 1.32795
3.5254998207092285 at 1.72136
3.525099992752075 at 2.11479
3.5253000259399414 at 2.50824
3.525099992752075 at 2.90164
3.5251998901367188 at 3.41487
3.525099992752075 at 4.20165
3.5251998901367188 at 4.59504
3.525099992752075 at 4.98844
3.5242998600006104 at 5.38182
3.5251998901367188 at 5.77523
3.525099992752075 at 6.16864
3.5251998901367188 at 6.62992
3.5251998901367188 at 6.97135
3.5254998207092285 at 7.36471
3.525099992752075 at 7.75805
3.5251998901367188 at 8.15134
3.525099992752075 at 8.54470
3.523899793624878 at 8.93812
3.5249998569488525 at 9.33158
3.524399995803833 at 9.72501
3.525099992752075 at 10.11849
3.525099992752075 at 10.63183
3.525099992752075 at 11.02535
3.5251998901367188 at 11.41886
3.525099992752075 at 11.81236
3.525099992752075 at 12.20582
3.525099992752075 at 12.59926
3.5249998569488525 at 12.99275
3.525099992752075 at 13.38622
3.525099992752075 at 13.84753
3.525099992752075 at 14.18903
3.525099992752075 at 14.58244
3.5254998207092285 at 14.97578
3.5251998901367188 at 15.36918
3.5249998569488525 at 15.76263
3.524399995803833 at 16.15604
3.524199962615967 at 16.54941
3.5249998569488525 at 16.94284
3.523899793624878 at 17.33628
3.524899959564209 at 17.84951
3.525099992752075 at 18.24290
3.525099992752075 at 18.63628
3.524399995803833 at 19.02968
3.525099992752075 at 19.42311
3.525399923324585 at 19.81652
3.525099992752075 at 20.20995
3.525099992752075 at 20.60335
Processing file: ./09-30/test_day_2_071.csv
3.5023999214172363 at 0.54098
3.50249981880188 at 0.93434
3.5020999908447266 at 1.32772
3.5023999214172363 at 1.72110
3.50219988822937 at 2.11448
3.5020999908447266 at 2.50785
3.5023999214172363 at 2.90121
3.50249981880188 at 3.41439
3.5023000240325928 at 3.80773
3.5023999214172363 at 4.20107
3.50219988822937 at 4.59443
3.50219988822937 at 4.98777
3.5020999908447266 at 5.38117
3.5020999908447266 at 5.77453
3.5023000240325928 at 6.16786
3.5020999908447266 at 6.62912
3.50219988822937 at 6.97055
3.5023000240325928 at 7.36388
3.50219988822937 at 7.75722
3.5023000240325928 at 8.15061
3.50219988822937 at 8.54394
3.501699924468994 at 8.93723
3.5020999908447266 at 9.33056
3.5017998218536377 at 9.72394
3.50249981880188 at 10.63057
3.4990999698638916 at 11.02407
3.4960999488830566 at 11.41750
3.490999937057495 at 11.81096
3.48799991607666 at 12.20441
3.488499879837036 at 12.59779
3.4900999069213867 at 12.99113
3.4856998920440674 at 13.38451
3.4828999042510986 at 13.84575
3.481099843978882 at 14.18717
3.4900999069213867 at 14.58054
3.4860999584198 at 14.97396
3.4873998165130615 at 15.36733
3.4836997985839844 at 15.76063
3.48580002784729 at 16.15398
3.4828999042510986 at 16.54733
3.484299898147583 at 16.94071
3.4900999069213867 at 17.33410
3.499499797821045 at 17.84735
3.4983999729156494 at 18.24075
3.48580002784729 at 18.63416
3.4888999462127686 at 19.02758
3.4866998195648193 at 19.42102
3.4895999431610107 at 19.81438
